ID_1,NAME_1,ID_2,NAME_2,lat_bin,lon_bin
YRD,Anhui,9764,Anqing,30.5,116.25
YRD,Anhui,9764,Anqing,30.75,116.75
YRD,Anhui,9764,Anqing,30.75,116.5
YRD,Anhui,9764,Anqing,30.75,117
YRD,Anhui,9780,Xuancheng,31,119.5
YRD,Anhui,9780,Xuancheng,30.25,118.75
YRD,Anhui,9780,Xuancheng,30.25,118.5
YRD,Anhui,9780,Xuancheng,30.5,119
YRD,Anhui,9780,Xuancheng,30.5,119.25
YRD,Anhui,9780,Xuancheng,30.5,118.5
YRD,Anhui,9780,Xuancheng,30.5,118
YRD,Anhui,9780,Xuancheng,30.5,118.75
YRD,Anhui,9780,Xuancheng,30.5,118.25
YRD,Anhui,9780,Xuancheng,30.75,118.5
YRD,Anhui,9780,Xuancheng,30.75,119
YRD,Anhui,9780,Xuancheng,30.75,118.75
YRD,Anhui,9780,Xuancheng,30.75,119.25
YRD,Anhui,9780,Xuancheng,31,118.75
YRD,Anhui,9780,Xuancheng,31,119.25
YRD,Anhui,9780,Xuancheng,31,119
YRD,Anhui,9780,Xuancheng,31.25,118.75
YRD,Anhui,9780,Xuancheng,31.25,119.25
YRD,Anhui,9769,Chuzhou,32,118
YRD,Anhui,9769,Chuzhou,32,118.25
YRD,Anhui,9769,Chuzhou,32.25,118.25
YRD,Anhui,9769,Chuzhou,32.25,117.75
YRD,Anhui,9769,Chuzhou,32.25,118
YRD,Anhui,9769,Chuzhou,32.25,118.5
YRD,Anhui,9769,Chuzhou,32.5,118.5
YRD,Anhui,9769,Chuzhou,32.5,118.25
YRD,Anhui,9769,Chuzhou,32.5,118
YRD,Anhui,9769,Chuzhou,32.5,117.75
YRD,Anhui,9769,Chuzhou,32.75,117.75
YRD,Anhui,9769,Chuzhou,32.75,118
YRD,Anhui,9769,Chuzhou,32.75,119
YRD,Anhui,9769,Chuzhou,32.75,118.25
YRD,Anhui,9769,Chuzhou,33,118
YRD,Anhui,9769,Chuzhou,33,117.75
YRD,Anhui,9769,Chuzhou,32.25,117.5
YRD,Anhui,9769,Chuzhou,32.5,117.25
YRD,Anhui,9769,Chuzhou,32.5,117.5
YRD,Anhui,9769,Chuzhou,32.75,117.5
YRD,Anhui,9769,Chuzhou,32.75,117.25
YRD,Anhui,9776,Maanshan,31.75,118
YRD,Anhui,9776,Maanshan,31.75,118.25
YRD,Anhui,9776,Maanshan,31.5,118.5
YRD,Anhui,9776,Maanshan,31.5,118
YRD,Anhui,9776,Maanshan,31.5,118.75
YRD,Anhui,9776,Maanshan,31.75,118.5
YRD,Anhui,9779,Wuhu,30.75,118.25
YRD,Anhui,9779,Wuhu,31,118.25
YRD,Anhui,9779,Wuhu,31,118.5
YRD,Anhui,9779,Wuhu,31.25,118.5
YRD,Anhui,9779,Wuhu,31.25,118.25
YRD,Anhui,9779,Wuhu,31.25,118
YRD,Anhui,9779,Wuhu,31.5,118.25
YRD,Anhui,9768,Chizhou,30.25,117.75
YRD,Anhui,9768,Chizhou,30.5,117.75
YRD,Anhui,9768,Chizhou,30.75,117.75
YRD,Anhui,9768,Chizhou,30.75,118
YRD,Anhui,9768,Chizhou,29.75,117
YRD,Anhui,9768,Chizhou,29.75,116.75
YRD,Anhui,9768,Chizhou,30,117.25
YRD,Anhui,9768,Chizhou,30,117
YRD,Anhui,9768,Chizhou,30.25,117
YRD,Anhui,9768,Chizhou,30.25,117.5
YRD,Anhui,9768,Chizhou,30.25,117.25
YRD,Anhui,9768,Chizhou,30.5,117.5
YRD,Anhui,9768,Chizhou,30.5,117.25
YRD,Anhui,9778,Tongling,31,117.5
YRD,Anhui,9778,Tongling,31,117.25
YRD,Anhui,9778,Tongling,31,117.75
YRD,Anhui,9778,Tongling,31,118
YRD,Anhui,9778,Tongling,30.75,117.5
YRD,Anhui,9778,Tongling,30.75,117.25
YRD,Anhui,9771,Hefei,32,117.75
YRD,Anhui,9771,Hefei,31.25,117.5
YRD,Anhui,9771,Hefei,31.25,117.25
YRD,Anhui,9771,Hefei,31.5,117.25
YRD,Anhui,9771,Hefei,31.5,117.5
YRD,Anhui,9771,Hefei,31.75,117.25
YRD,Anhui,9771,Hefei,31.75,117.5
YRD,Anhui,9771,Hefei,31.75,117
YRD,Anhui,9771,Hefei,32,117.25
YRD,Anhui,9771,Hefei,32,117.5
YRD,Anhui,9771,Hefei,32.25,117.25
YRD,Anhui,9771,Hefei,31.5,117.75
YRD,Anhui,9771,Hefei,31.75,117.75
JJJ,Hebei,9853,Baoding,38.75,115.75
JJJ,Hebei,9853,Baoding,38.75,115.5
JJJ,Hebei,9853,Baoding,38.75,115.25
JJJ,Hebei,9853,Baoding,38.75,114.5
